"Osa-alue,""2022 Yhteensa Yhteensa"",""2022 Yhteensa Omakoti- ja paritalot"",""2022 Yhteensa Rivitalot"",""2022 Yhteensa Kerrostalot"",""2022 Yhteensa Muut rakennukset"",""2022 - 1920 Yhteensa"",""2022 - 1920 Omakoti- ja paritalot"",""2022 - 1920 Rivitalot"",""2022 - 1920 Kerrostalot"",""2022 - 1920 Muut rakennukset"",""2022 1921 - 1939 Yhteensa"",""2022 1921 - 1939 Omakoti- ja paritalot"",""2022 1921 - 1939 Rivitalot"",""2022 1921 - 1939 Kerrostalot"",""2022 1921 - 1939 Muut rakennukset"",""2022 1940 - 1959 Yhteensa"",""2022 1940 - 1959 Omakoti- ja paritalot"",""2022 1940 - 1959 Rivitalot"",""2022 1940 - 1959 Kerrostalot"",""2022 1940 - 1959 Muut rakennukset"",""2022 1960 - 1969 Yhteensa"",""2022 1960 - 1969 Omakoti- ja paritalot"",""2022 1960 - 1969 Rivitalot"",""2022 1960 - 1969 Kerrostalot"",""2022 1960 - 1969 Muut rakennukset"",""2022 1970 - 1979 Yhteensa"",""2022 1970 - 1979 Omakoti- ja paritalot"",""2022 1970 - 1979 Rivitalot"",""2022 1970 - 1979 Kerrostalot"",""2022 1970 - 1979 Muut rakennukset"",""2022 1980 - 1989 Yhteensa"",""2022 1980 - 1989 Omakoti- ja paritalot"",""2022 1980 - 1989 Rivitalot"",""2022 1980 - 1989 Kerrostalot"",""2022 1980 - 1989 Muut rakennukset"",""2022 1990 - 1999 Yhteensa"",""2022 1990 - 1999 Omakoti- ja paritalot"",""2022 1990 - 1999 Rivitalot"",""2022 1990 - 1999 Kerrostalot"",""2022 1990 - 1999 Muut rakennukset"",""2022 2000 - 2009 Yhteensa"",""2022 2000 - 2009 Omakoti- ja paritalot"",""2022 2000 - 2009 Rivitalot"",""2022 2000 - 2009 Kerrostalot"",""2022 2000 - 2009 Muut rakennukset"",""2022 2010 - 2019 Yhteensa"",""2022 2010 - 2019 Omakoti- ja paritalot"",""2022 2010 - 2019 Rivitalot"",""2022 2010 - 2019 Kerrostalot"",""2022 2010 - 2019 Muut rakennukset"",""2022 2020 Yhteensa"",""2022 2020 Omakoti- ja paritalot"",""2022 2020 Rivitalot"",""2022 2020 Kerrostalot"",""2022 2020 Muut rakennukset"",""2022 Tuntematon Yhteensa"",""2022 Tuntematon Omakoti- ja paritalot"",""2022 Tuntematon Rivitalot"",""2022 Tuntematon Kerrostalot"",""2022 Tuntematon Muut rakennukset"""
091 313 Myllykallio,4373,102,269,3998,4,1,0,0,0,..,109,3,0,106,0,2015,32,118,1864,1,1699,21,59,1617,2,174,5,32,137,0,91,19,49,23,0,19,7,0,12,0,21,5,3,13,0,140,4,0,136,0,104,6,8,90,0,0,0,0,0,0
091 314 Koivusaari,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
091 201 Reijolan peruspiiri,10873,98,98,10290,387,38,15,5,11,7,792,5,0,776,11,5004,5,0,4902,97,455,26,0,192,237,104,2,0,73,29,432,1,0,431,0,3387,23,90,3268,6,359,9,3,347,0,174,12,0,162,0,128,0,0,128,0,0,0,0,0,0
091 150 Meilahti,3912,39,5,3555,313,37,15,5,11,6,504,5,0,499,0,2902,3,0,2820,79,261,2,0,33,226,1,0,0,0,..,66,1,0,65,0,11,7,0,3,1,48,2,0,46,0,4,4,0,0,0,78,0,0,78,0,0,0,0,0,0
091 161 Vanha Ruskeasuo,1783,39,0,1683,61,0,0,0,0,0,11,0,0,0,11,1144,2,0,1124,18,179,24,0,144,11,96,2,0,73,21,71,0,0,71,0,176,6,0,170,0,19,1,0,18,0,79,4,0,75,0,8,0,0,8,0,0,0,0,0,0
091 162 Pikku Huopalahti,3769,20,93,3643,13,1,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,220,0,0,220,0,3200,10,90,3095,5,292,6,3,283,0,7,4,0,3,0,42,0,0,42,0,0,0,0,0,0
091 180 Laakso,1409,0,0,1409,0,0,0,0,0,0,277,0,0,277,0,958,0,0,958,0,15,0,0,15,0,0,0,0,0,0,75,0,0,75,0,0,0,0,0,0,0,0,0,0,0,84,0,0,84,0,0,0,0,0,0,0,0,0,0,0
091 202 Munkkiniemen peruspiiri,11462,261,478,10664,59,56,3,0,51,2,1281,25,3,1232,21,5315,41,135,5125,14,2174,67,122,1971,14,407,11,59,333,4,136,19,49,67,1,1157,26,61,1067,3,219,38,25,156,0,259,15,24,220,0,458,16,0,442,0,0,0,0,0,0
091 301 Vanha Munkkiniemi,5651,79,140,5397,35,56,3,0,51,2,1280,24,3,1232,21,2429,24,61,2334,10,688,11,13,664,0,240,2,28,208,2,63,5,8,50,0,531,2,6,523,0,122,3,4,115,0,161,3,17,141,0,81,2,0,79,0,0,0,0,0,0
091 302 Kuusisaari,257,107,103,40,7,0,0,0,0,0,1,..,0,0,0,19,17,0,0,2,47,10,33,4,0,39,6,22,9,2,68,10,41,17,0,13,6,4,0,3,43,33,0,10,0,13,10,3,0,0,14,14,0,0,0,0,0,0,0,0
091 303 Lehtisaari,609,61,127,420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,46,70,334,0,56,3,9,44,0,5,4,0,0,..,27,4,23,0,0,23,2,21,0,0,48,2,4,42,0,0,0,0,0,0,0,0,0,0,0
091 304 Munkkivuori,3157,0,74,3080,3,0,0,0,0,0,0,0,0,0,0,2867,0,74,2791,2,253,0,0,252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0
091 305 Niemenmaki,1202,0,6,1183,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,6,717,13,72,0,0,72,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31,0,0,0,0,0,0,363,0,0,363,0,0,0,0,0,0
091 306 Talinranta,586,14,28,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,14,28,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 203 Haagan peruspiiri,17918,43,350,17278,247,18,8,0,0,10,76,9,0,63,4,6236,3,58,6174,1,4784,7,52,4569,156,2855,2,29,2752,72,1723,0,72,1648,3,391,0,19,371,1,555,3,29,523,0,893,8,76,809,0,387,3,15,369,0,0,0,0,0,0
091 291 Etela-Haaga,8543,23,177,8146,197,17,7,0,0,10,71,6,0,61,4,2339,0,35,2304,0,4120,4,52,3909,155,624,2,24,571,27,89,0,9,79,1,228,0,19,209,0,326,3,26,297,0,500,0,12,488,0,229,1,0,228,0,0,0,0,0,0
091 292 Kivihaka,615,6,5,604,0,1,..,0,0,0,5,3,0,2,0,2,..,0,0,0,504,0,0,504,0,73,0,5,68,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0
091 293 Pohjois-Haaga,5879,2,67,5802,8,0,0,0,0,0,0,0,0,0,0,3894,0,23,3870,1,157,0,0,156,1,1161,0,0,1156,5,33,0,0,33,0,69,0,0,68,1,165,0,0,165,0,295,..,44,249,0,105,0,0,105,0,0,0,0,0,0
091 294 Lassila,2881,12,101,2726,42,0,0,0,0,0,0,0,0,0,0,1,..,0,0,0,3,3,0,0,0,997,0,0,957,40,1601,0,63,1536,2,80,0,0,80,0,64,0,3,61,0,82,6,20,56,0,53,2,15,36,0,0,0,0,0,0
091 204 Pitajanmaen peruspiiri,11074,880,499,9591,104,27,21,4,0,2,110,47,0,61,2,1538,279,8,1226,25,2070,56,77,1887,50,1677,61,192,1412,12,800,95,131,570,4,1850,59,17,1769,5,745,168,24,549,4,1813,70,43,1700,0,444,24,3,417,0,0,0,0,0,0
091 320 Konala,3745,508,361,2856,20,4,4,0,0,0,4,4,0,0,0,168,103,4,57,4,1360,46,36,1272,6,429,43,172,208,6,335,68,97,170,0,112,26,3,82,1,229,141,13,72,3,969,53,36,880,0,135,20,0,115,0,0,0,0,0,0
091 461 Pajamaki,1225,0,0,1221,4,0,0,0,0,0,0,0,0,0,0,838,0,0,838,0,291,0,0,287,4,0,0,0,0,0,0,0,0,0,0,96,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 462 Tali,543,0,3,540,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,524,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 463 Reimarla,3031,238,124,2654,15,14,13,0,0,1,61,39,0,22,0,184,61,0,122,1,364,10,35,310,9,1239,18,20,1201,0,461,26,34,400,1,315,28,14,271,2,35,23,11,0,1,295,16,7,272,0,63,4,3,56,0,0,0,0,0,0
091 464 Marttila,167,127,6,32,2,1,..,0,0,0,4,4,0,0,0,142,111,0,29,..,6,0,6,0,0,3,0,0,3,0,1,..,0,0,0,5,5,0,0,0,4,4,0,0,0,1,..,0,0,0,0,0,0,0,0,0,0,0,0,0
091 465 Pitajanmaen yritysalue,2363,7,5,2288,63,5,3,1,0,1,41,0,0,39,2,206,4,4,180,18,49,0,0,18,31,6,0,0,0,6,3,0,0,0,3,798,0,0,796,2,461,0,0,461,0,548,0,0,548,0,246,0,0,246,0,0,0,0,0,0
091 205 Kaarelan peruspiiri,17130,2152,1140,13638,200,3,3,0,0,0,0,0,0,0,0,1306,486,18,781,21,2065,153,44,1866,2,4001,59,229,3573,140,3862,600,321,2928,13,1305,265,83,941,16,1409,300,178,926,5,2131,172,121,1838,0,1048,114,146,785,3,0,0,0,0,0
091 331 Kannelmaki,7946,216,413,7281,36,0,0,0,0,0,0,0,0,0,0,746,46,0,700,0,1929,22,44,1863,0,3136,1,189,2910,36,606,65,30,511,0,426,32,24,370,0,720,33,126,561,0,186,8,0,178,0,197,9,0,188,0,0,0,0,0,0
091 332 Maununneva,1077,914,35,119,9,0,0,0,0,0,0,0,0,0,0,258,236,3,18,1,77,75,0,0,2,41,39,2,0,0,241,212,16,7,6,120,120,0,0,0,183,105,14,64,0,117,87,0,30,0,40,40,0,0,0,0,0,0,0,0
091 333 Malminkartano,4739,68,271,4248,152,0,0,0,0,0,0,0,0,0,0,79,0,12,48,19,1,..,0,0,0,804,0,38,663,103,2465,18,136,2305,6,570,10,47,497,16,379,35,38,301,5,411,4,0,407,0,30,0,0,27,3,0,0,0,0,0
091 334 Hakuninmaa,1208,869,151,186,2,1,..,0,0,0,0,0,0,0,0,201,196,0,4,..,58,55,0,3,0,19,18,0,0,..,545,301,139,105,0,188,102,12,74,0,114,114,0,0,0,61,61,0,0,0,21,21,0,0,0,0,0,0,0,0
091 335 Kuninkaantammi,1808,37,126,1644,1,2,..,0,0,0,0,0,0,0,0,22,8,3,11,0,0,0,0,0,0,1,..,0,0,0,5,4,0,0,..,1,..,0,0,0,13,13,0,0,0,1135,4,68,1063,0,629,4,55,570,0,0,0,0,0,0
091 336 Honkasuo,352,48,144,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,8,53,160,0,131,40,91,0,0,0,0,0,0,0
091 301 Kallion peruspiiri,25403,14,25,25266,98,2096,3,0,2049,44,8933,0,0,8900,33,1837,0,0,1829,8,3257,0,0,3251,6,1197,0,0,1192,5,1104,0,0,1103,1,1001,0,0,1000,1,270,0,0,270,0,2609,11,11,2587,0,3099,0,14,3085,0,0,0,0,0,0
091 101 Vilhonvuori,4963,0,0,4953,10,180,0,0,180,0,1279,0,0,1273,6,78,0,0,78,0,473,0,0,471,2,866,0,0,864,2,835,0,0,835,0,917,0,0,917,0,270,0,0,270,0,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0
091 102 Kalasatama,4133,11,25,4093,4,0,0,0,0,0,2,0,0,0,..,1,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,..,0,0,0,0,0,1889,11,11,1867,0,2240,0,14,2226,0,0,0,0,0,0
091 103 Sompasaari,1479,0,0,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,620,0,859,0,0,859,0,0,0,0,0,0
091 104 Hanasaari,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
091 111 Siltasaari,1737,0,0,1727,10,451,0,0,451,0,910,0,0,904,6,193,0,0,192,1,137,0,0,136,1,46,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091 112 Linjat,7158,3,0,7084,71,633,3,0,589,41,2236,0,0,2217,19,1279,0,0,1273,6,2557,0,0,2554,3,225,0,0,224,1,151,0,0,150,1,42,0,0,42,0,0,0,0,0,0,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0
091 113 Torkkelinmaki,5933,0,0,5930,3,832,0,0,829,3,4506,0,0,4506,0,286,0,0,286,0,90,0,0,90,0,60,0,0,60,0,118,0,0,118,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
