Gender,Education % 15-24 years Second degree and special vocational training degree,Education % 15-24 years Lowest higher and lower university level,Education % 15-24 years Higher university degree and research training,Education % 15-24 years All levels of education,Education % 15-24 years Elementary or unknown,Education % 15-24 years Total graduates,Education % 25-44 years Second degree and special vocational training degree,Education % 25-44 years Lowest higher and lower university level,Education % 25-44 years Higher university degree and research training,Education % 25-44 years All levels of education,Education % 25-44 years Elementary or unknown,Education % 25-44 years Total graduates,Education % 45-64 years Second degree and special vocational training degree,Education % 45-64 years Lowest higher and lower university level,Education % 45-64 years Higher university degree and research training,Education % 45-64 years All levels of education,Education % 45-64 years Elementary or unknown,Education % 45-64 years Total graduates,Education % 65 and over Second degree and special vocational training degree,Education % 65 and over Lowest higher and lower university level,Education % 65 and over Higher university degree and research training,Education % 65 and over All levels of education,Education % 65 and over Elementary or unknown,Education % 65 and over Total graduates,0-14 year olds,Pensioners and others,"Students, school children, conscripts and civil service",Employed,Unemployed,Labor force,Outside the labor force,Taxable income per housing association,Taxable income per person,Married couple without children,Married couple and children,Unmarried couple without children,Unmarried couple and children,Father and children,Mother and children,municipality,code,name,green area %
0,0.042033236,0.007820137,0.0,0.079178885,0.029325513,0.049853373,0.16324535,0.1319648,0.15933529,0.514174,0.059628543,0.45454547,0.074291304,0.045943305,0.08504399,0.23753665,0.032258064,0.20527859,0.049853373,0.030303031,0.055718474,0.16911046,0.033235583,0.13587488,0.02732707,0.09393681,,0.28138342,0.02732707,0.30871052,0.15542272,59332.0,36345.0,0.30363637,0.121818185,0.4181818,0.08,0.010909091,0.06545454,091,111,Siltasaari,16.0442747808965
1,0.076793246,0.015189873,0.0016877637,0.12405063,0.030379746,0.09367089,0.101265825,0.15949367,0.16962026,0.46835443,0.03797468,0.43037975,0.047257382,0.055696204,0.091983125,0.20590717,0.010970464,0.19493671,0.042194095,0.06329114,0.052320674,0.20168777,0.043881856,0.1578059,0.029888984,0.12467976,0.036720753,0.3168232,0.027754057,0.34457728,0.1912895,59332.0,36345.0,0.30363637,0.121818185,0.4181818,0.08,0.010909091,0.06545454,091,111,Siltasaari,16.0442747808965
0,0.06410257,0.0075973407,0.0002374169,0.09615385,0.024216523,0.07193732,0.1740266,0.12203229,0.14078823,0.52136755,0.084520414,0.4368471,0.08808167,0.040360875,0.054131053,0.24264008,0.060066476,0.1825736,0.037037037,0.028964862,0.023504274,0.13983856,0.050332382,0.08950617,0.028586723,0.105567455,0.037259102,0.2646681,0.043576017,0.3082441,0.17141327,43463.0,29927.0,0.26876202,0.1289288,0.4252726,0.07055805,0.017960232,0.088518284,091,112,Linjat,18.3307831281561
1,0.10777923,0.015862668,0.00065189047,0.14841373,0.024119947,0.12429378,0.1297262,0.15514994,0.17514125,0.49565408,0.03563668,0.46001738,0.046284225,0.049760975,0.05345502,0.1718818,0.022381574,0.14950022,0.05323772,0.042155586,0.025858322,0.18405041,0.06279878,0.12125163,0.027408993,0.11638115,0.044325482,0.30342612,0.028800856,0.332227,0.18811563,43463.0,29927.0,0.26876202,0.1289288,0.4252726,0.07055805,0.017960232,0.088518284,091,112,Linjat,18.3307831281561
0,0.074592836,0.008143323,0.0009771987,0.104885995,0.021172639,0.08371335,0.21335505,0.13583063,0.16254072,0.5967427,0.08501629,0.5117264,0.07947883,0.040065147,0.046905536,0.20325732,0.036807816,0.16644952,0.032899022,0.017589577,0.016612377,0.09511401,0.02801303,0.06710098,0.017120738,0.07815989,0.037665624,0.2938812,0.047342565,0.34122375,0.13294625,42332.0,31788.0,0.22398414,0.07730426,0.5609514,0.059464816,0.014866204,0.06342914,091,113,Torkkelinmaki,0.915812963288841
1,0.13613789,0.021034181,0.0005842828,0.1849255,0.02716915,0.15775636,0.13993573,0.18054338,0.19222903,0.5463044,0.033596262,0.5127081,0.040315513,0.042944785,0.053461876,0.15162139,0.014899211,0.13672218,0.029798422,0.030382706,0.020157756,0.1171487,0.036809817,0.08033888,0.016227482,0.080988534,0.048086945,0.35000744,0.030519577,0.38052702,0.14530297,42332.0,31788.0,0.22398414,0.07730426,0.5609514,0.059464816,0.014866204,0.06342914,091,113,Torkkelinmaki,0.915812963288841
0,0.083381586,0.008975102,0.0002895194,0.11812391,0.025477707,0.092646204,0.2029531,0.13665316,0.13462652,0.5619572,0.08772438,0.47423276,0.08453967,0.045165025,0.03937464,0.20990156,0.040822234,0.16907933,0.038795598,0.01881876,0.016213086,0.110017374,0.036189925,0.073827446,0.018727623,0.082759574,0.045442026,0.29757643,0.049848527,0.34742495,0.14692922,37411.0,28018.0,0.2509124,0.099452555,0.5009124,0.06021898,0.015510949,0.0729927,091,121,Harju,20.0243682216594
1,0.1402027,0.019707207,0.0005630631,0.19341215,0.03293919,0.16047297,0.13766892,0.1632883,0.17004505,0.5087275,0.037725225,0.47100225,0.041103605,0.04420045,0.0472973,0.14949325,0.016891891,0.13260135,0.034346845,0.036036037,0.016047297,0.14836712,0.061936937,0.08643018,0.016524373,0.096116774,0.048058387,0.3142385,0.030707793,0.3449463,0.16069953,37411.0,28018.0,0.2509124,0.099452555,0.5009124,0.06021898,0.015510949,0.0729927,091,121,Harju,20.0243682216594
0,0.061654136,0.004511278,0.0005012531,0.08471178,0.018045112,0.06666667,0.1839599,0.15789473,0.15388471,0.5734336,0.07769424,0.49573934,0.088721804,0.042606518,0.03809524,0.2085213,0.039097745,0.16942357,0.04310777,0.025062656,0.018546365,0.13333334,0.046616543,0.08671679,0.032111138,0.090184465,,0.2853564,0.043725803,0.32908222,0.15736735,39935.0,28827.0,0.24967825,0.11196911,0.46332046,0.07593308,0.014157014,0.08494209,091,122,Alppila,40.5230483558234
1,0.09277389,0.017249417,0.0013986015,0.13286713,0.021445222,0.11142191,0.13566433,0.18368298,0.211655,0.56876457,0.03776224,0.53100234,0.04195804,0.05081585,0.04941725,0.15431236,0.012121212,0.14219114,0.034965035,0.036363635,0.017715618,0.14405595,0.055011656,0.08904429,0.025051242,0.090184465,0.043498065,0.3242997,0.030516967,0.35481668,0.15873377,39935.0,28827.0,0.24967825,0.11196911,0.46332046,0.07593308,0.014157014,0.08494209,091,122,Alppila,40.5230483558234
