"Alue,""Tulotyyppi"",""2017"""
"091 205 Kaarelan peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",5273693"
"091 205 Kaarelan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",37578"
"091 205 Kaarelan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",18774"
"091 331 Kannelmaki,""Asuntokunnat"",7280"
"091 331 Kannelmaki,""Henkilot"",13239"
"091 331 Kannelmaki,""Valtionveronalaiset tulot yhteensa 100 €"",2984214"
"091 331 Kannelmaki,""Valtionveronalaiset tulot € / asuntokunta"",40992"
"091 331 Kannelmaki,""Valtionveronalaiset tulot € / henkilo"",22541"
"091 331 Kannelmaki,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2891774"
"091 331 Kannelmaki,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",39722"
"091 331 Kannelmaki,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",21843"
"091 331 Kannelmaki,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2282744"
"091 331 Kannelmaki,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",31356"
"091 331 Kannelmaki,""Kunnallisverotuksessa verotettava tulo € / henkilo"",17243"
"091 332 Maununneva,""Asuntokunnat"",1046"
"091 332 Maununneva,""Henkilot"",2692"
"091 332 Maununneva,""Valtionveronalaiset tulot yhteensa 100 €"",976566"
"091 332 Maununneva,""Valtionveronalaiset tulot € / asuntokunta"",93362"
"091 332 Maununneva,""Valtionveronalaiset tulot € / henkilo"",36277"
"091 332 Maununneva,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",867044"
"091 332 Maununneva,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",82891"
"091 332 Maununneva,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",32208"
"091 332 Maununneva,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",744370"
"091 332 Maununneva,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",71163"
"091 332 Maununneva,""Kunnallisverotuksessa verotettava tulo € / henkilo"",27651"
"091 333 Malminkartano,""Asuntokunnat"",4113"
"091 333 Malminkartano,""Henkilot"",8476"
"091 333 Malminkartano,""Valtionveronalaiset tulot yhteensa 100 €"",1814206"
"091 333 Malminkartano,""Valtionveronalaiset tulot € / asuntokunta"",44109"
"091 333 Malminkartano,""Valtionveronalaiset tulot € / henkilo"",21404"
"091 333 Malminkartano,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1768767"
"091 333 Malminkartano,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",43004"
"091 333 Malminkartano,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",20868"
"091 333 Malminkartano,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1376442"
"091 333 Malminkartano,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",33466"
"091 333 Malminkartano,""Kunnallisverotuksessa verotettava tulo € / henkilo"",16239"
"091 334 Hakuninmaa,""Asuntokunnat"",1118"
"091 334 Hakuninmaa,""Henkilot"",2771"
"091 334 Hakuninmaa,""Valtionveronalaiset tulot yhteensa 100 €"",868839"
"091 334 Hakuninmaa,""Valtionveronalaiset tulot € / asuntokunta"",77714"
"091 334 Hakuninmaa,""Valtionveronalaiset tulot € / henkilo"",31355"
"091 334 Hakuninmaa,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",815519"
"091 334 Hakuninmaa,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",72944"
"091 334 Hakuninmaa,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",29430"
"091 334 Hakuninmaa,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",684537"
"091 334 Hakuninmaa,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",61229"
"091 334 Hakuninmaa,""Kunnallisverotuksessa verotettava tulo € / henkilo"",24704"
"091 335 Kuninkaantammi,""Asuntokunnat"",308"
"091 335 Kuninkaantammi,""Henkilot"",625"
"091 335 Kuninkaantammi,""Valtionveronalaiset tulot yhteensa 100 €"",170077"
"091 335 Kuninkaantammi,""Valtionveronalaiset tulot € / asuntokunta"",55220"
"091 335 Kuninkaantammi,""Valtionveronalaiset tulot € / henkilo"",27212"
"091 335 Kuninkaantammi,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",164609"
"091 335 Kuninkaantammi,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",53445"
"091 335 Kuninkaantammi,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",26337"
"091 335 Kuninkaantammi,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",134042"
"091 335 Kuninkaantammi,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",43520"
"091 335 Kuninkaantammi,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21447"
"091 336 Honkasuo,""Asuntokunnat"",169"
"091 336 Honkasuo,""Henkilot"",288"
"091 336 Honkasuo,""Valtionveronalaiset tulot yhteensa 100 €"",67105"
"091 336 Honkasuo,""Valtionveronalaiset tulot € / asuntokunta"",39707"
"091 336 Honkasuo,""Valtionveronalaiset tulot € / henkilo"",23300"
"091 336 Honkasuo,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",66236"
"091 336 Honkasuo,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",39193"
"091 336 Honkasuo,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",22999"
"091 336 Honkasuo,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",51559"
"091 336 Honkasuo,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",30508"
"091 336 Honkasuo,""Kunnallisverotuksessa verotettava tulo € / henkilo"",17902"
"091 301 Kallion peruspiiri,""Asuntokunnat"",19316"
"091 301 Kallion peruspiiri,""Henkilot"",28914"
"091 301 Kallion peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",9149992"
"091 301 Kallion peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",47370"
"091 301 Kallion peruspiiri,""Valtionveronalaiset tulot € / henkilo"",31646"
"091 301 Kallion peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",8520897"
"091 301 Kallion peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",44113"
"091 301 Kallion peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",29470"
"091 301 Kallion peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",6897338"
"091 301 Kallion peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",35708"
"091 301 Kallion peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",23855"
"091 100 Sornainen (Ent.),""Asuntokunnat"",."
"091 100 Sornainen (Ent.),""Henkilot"",."
"091 100 Sornainen (Ent.),""Valtionveronalaiset tulot yhteensa 100 €"",."
"091 100 Sornainen (Ent.),""Valtionveronalaiset tulot € / asuntokunta"",."
"091 100 Sornainen (Ent.),""Valtionveronalaiset tulot € / henkilo"",."
"091 100 Sornainen (Ent.),""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 100 Sornainen (Ent.),""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 100 Sornainen (Ent.),""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 100 Sornainen (Ent.),""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",."
"091 100 Sornainen (Ent.),""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",."
"091 100 Sornainen (Ent.),""Kunnallisverotuksessa verotettava tulo € / henkilo"",."
"091 101 Vilhonvuori,""Asuntokunnat"",4630"
"091 101 Vilhonvuori,""Henkilot"",7287"
"091 101 Vilhonvuori,""Valtionveronalaiset tulot yhteensa 100 €"",2223896"
"091 101 Vilhonvuori,""Valtionveronalaiset tulot € / asuntokunta"",48032"
"091 101 Vilhonvuori,""Valtionveronalaiset tulot € / henkilo"",30519"
"091 101 Vilhonvuori,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2089127"
"091 101 Vilhonvuori,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",45122"
"091 101 Vilhonvuori,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",28669"
"091 101 Vilhonvuori,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1696116"
"091 101 Vilhonvuori,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",36633"
"091 101 Vilhonvuori,""Kunnallisverotuksessa verotettava tulo € / henkilo"",23276"
"091 102 Kalasatama,""Asuntokunnat"",1267"
"091 102 Kalasatama,""Henkilot"",2500"
"091 102 Kalasatama,""Valtionveronalaiset tulot yhteensa 100 €"",905091"
"091 102 Kalasatama,""Valtionveronalaiset tulot € / asuntokunta"",71436"
"091 102 Kalasatama,""Valtionveronalaiset tulot € / henkilo"",36204"
"091 102 Kalasatama,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",815204"
"091 102 Kalasatama,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",64341"
"091 102 Kalasatama,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",32608"
"091 102 Kalasatama,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",679657"
"091 102 Kalasatama,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",53643"
"091 102 Kalasatama,""Kunnallisverotuksessa verotettava tulo € / henkilo"",27186"
"091 103 Sompasaari,""Asuntokunnat"",.."
"091 103 Sompasaari,""Henkilot"",.."
"091 103 Sompasaari,""Valtionveronalaiset tulot yhteensa 100 €"",.."
"091 103 Sompasaari,""Valtionveronalaiset tulot € / asuntokunta"",.."
"091 103 Sompasaari,""Valtionveronalaiset tulot € / henkilo"",.."
"091 103 Sompasaari,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 103 Sompasaari,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 103 Sompasaari,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 103 Sompasaari,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",.."
"091 103 Sompasaari,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",.."
"091 103 Sompasaari,""Kunnallisverotuksessa verotettava tulo € / henkilo"",.."
"091 104 Hanasaari,""Asuntokunnat"",.."
"091 104 Hanasaari,""Henkilot"",.."
"091 104 Hanasaari,""Valtionveronalaiset tulot yhteensa 100 €"",.."
"091 104 Hanasaari,""Valtionveronalaiset tulot € / asuntokunta"",.."
"091 104 Hanasaari,""Valtionveronalaiset tulot € / henkilo"",.."
"091 104 Hanasaari,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 104 Hanasaari,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 104 Hanasaari,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 104 Hanasaari,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",.."
"091 104 Hanasaari,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",.."
"091 104 Hanasaari,""Kunnallisverotuksessa verotettava tulo € / henkilo"",.."
"091 111 Siltasaari,""Asuntokunnat"",1570"
"091 111 Siltasaari,""Henkilot"",2563"
"091 111 Siltasaari,""Valtionveronalaiset tulot yhteensa 100 €"",931514"
"091 111 Siltasaari,""Valtionveronalaiset tulot € / asuntokunta"",59332"
"091 111 Siltasaari,""Valtionveronalaiset tulot € / henkilo"",36345"
"091 111 Siltasaari,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",874934"
"091 111 Siltasaari,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",55728"
"091 111 Siltasaari,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",34137"
"091 111 Siltasaari,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",731574"
"091 111 Siltasaari,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",46597"
"091 111 Siltasaari,""Kunnallisverotuksessa verotettava tulo € / henkilo"",28544"
"091 112 Linjat,""Asuntokunnat"",6507"
"091 112 Linjat,""Henkilot"",9450"
"091 112 Linjat,""Valtionveronalaiset tulot yhteensa 100 €"",2828123"
"091 112 Linjat,""Valtionveronalaiset tulot € / asuntokunta"",43463"
"091 112 Linjat,""Valtionveronalaiset tulot € / henkilo"",29927"
"091 112 Linjat,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2663303"
"091 112 Linjat,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",40930"
"091 112 Linjat,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",28183"
"091 112 Linjat,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2127969"
"091 112 Linjat,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",32703"
"091 112 Linjat,""Kunnallisverotuksessa verotettava tulo € / henkilo"",22518"
"091 113 Torkkelinmaki,""Asuntokunnat"",5342"
"091 113 Torkkelinmaki,""Henkilot"",7114"
"091 113 Torkkelinmaki,""Valtionveronalaiset tulot yhteensa 100 €"",2261368"
"091 113 Torkkelinmaki,""Valtionveronalaiset tulot € / asuntokunta"",42332"
"091 113 Torkkelinmaki,""Valtionveronalaiset tulot € / henkilo"",31788"
"091 113 Torkkelinmaki,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2078330"
"091 113 Torkkelinmaki,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",38905"
"091 113 Torkkelinmaki,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",29215"
"091 113 Torkkelinmaki,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1662023"
"091 113 Torkkelinmaki,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",31112"
"091 113 Torkkelinmaki,""Kunnallisverotuksessa verotettava tulo € / henkilo"",23363"
"091 302 Alppiharjun peruspiiri,""Asuntokunnat"",8843"
"091 302 Alppiharjun peruspiiri,""Henkilot"",11971"
"091 302 Alppiharjun peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",3390594"
"091 302 Alppiharjun peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",38342"
"091 302 Alppiharjun peruspiiri,""Valtionveronalaiset tulot € / henkilo"",28323"
"091 302 Alppiharjun peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",3254910"
"091 302 Alppiharjun peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",36808"
"091 302 Alppiharjun peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",27190"
"091 302 Alppiharjun peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2554939"
"091 302 Alppiharjun peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",28892"
"091 302 Alppiharjun peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21343"
"091 121 Harju,""Asuntokunnat"",5581"
"091 121 Harju,""Henkilot"",7452"
"091 121 Harju,""Valtionveronalaiset tulot yhteensa 100 €"",2087904"
"091 121 Harju,""Valtionveronalaiset tulot € / asuntokunta"",37411"
"091 121 Harju,""Valtionveronalaiset tulot € / henkilo"",28018"
"091 121 Harju,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2005239"
"091 121 Harju,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",35930"
"091 121 Harju,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",26909"
"091 121 Harju,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1572274"
"091 121 Harju,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",28172"
"091 121 Harju,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21099"
"091 122 Alppila,""Asuntokunnat"",3262"
"091 122 Alppila,""Henkilot"",4519"
"091 122 Alppila,""Valtionveronalaiset tulot yhteensa 100 €"",1302690"
"091 122 Alppila,""Valtionveronalaiset tulot € / asuntokunta"",39935"
"091 122 Alppila,""Valtionveronalaiset tulot € / henkilo"",28827"
"091 122 Alppila,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1249671"
"091 122 Alppila,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",38310"
"091 122 Alppila,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",27654"
"091 122 Alppila,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",982666"
"091 122 Alppila,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",30125"
"091 122 Alppila,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21745"
"091 303 Vallilan peruspiiri,""Asuntokunnat"",9726"
"091 303 Vallilan peruspiiri,""Henkilot"",16167"
"091 303 Vallilan peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",4662420"
"091 303 Vallilan peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",47938"
"091 303 Vallilan peruspiiri,""Valtionveronalaiset tulot € / henkilo"",28839"
"091 303 Vallilan peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",4469326"
"091 303 Vallilan peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",45952"
"091 303 Vallilan peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",27645"
"091 303 Vallilan peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",3592271"
"091 303 Vallilan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",36935"
"091 303 Vallilan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",22220"
"091 210 Hermanni (Ent.),""Asuntokunnat"",."
"091 210 Hermanni (Ent.),""Henkilot"",."
"091 210 Hermanni (Ent.),""Valtionveronalaiset tulot yhteensa 100 €"",."
"091 210 Hermanni (Ent.),""Valtionveronalaiset tulot € / asuntokunta"",."
"091 210 Hermanni (Ent.),""Valtionveronalaiset tulot € / henkilo"",."
"091 210 Hermanni (Ent.),""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 210 Hermanni (Ent.),""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 210 Hermanni (Ent.),""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",."
"091 210 Hermanni (Ent.),""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",."
"091 210 Hermanni (Ent.),""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",."
"091 210 Hermanni (Ent.),""Kunnallisverotuksessa verotettava tulo € / henkilo"",."
"091 211 Hermanninmaki,""Asuntokunnat"",3468"
"091 211 Hermanninmaki,""Henkilot"",6027"
"091 211 Hermanninmaki,""Valtionveronalaiset tulot yhteensa 100 €"",1689736"
"091 211 Hermanninmaki,""Valtionveronalaiset tulot € / asuntokunta"",48724"
"091 211 Hermanninmaki,""Valtionveronalaiset tulot € / henkilo"",28036"
"091 211 Hermanninmaki,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1628791"
"091 211 Hermanninmaki,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",46966"
"091 211 Hermanninmaki,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",27025"
"091 211 Hermanninmaki,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1319948"
"091 211 Hermanninmaki,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",38061"
"091 211 Hermanninmaki,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21901"
"091 212 Hermanninranta,""Asuntokunnat"",.."
"091 212 Hermanninranta,""Henkilot"",.."
"091 212 Hermanninranta,""Valtionveronalaiset tulot yhteensa 100 €"",.."
"091 212 Hermanninranta,""Valtionveronalaiset tulot € / asuntokunta"",.."
"091 212 Hermanninranta,""Valtionveronalaiset tulot € / henkilo"",.."
"091 212 Hermanninranta,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 212 Hermanninranta,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 212 Hermanninranta,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 212 Hermanninranta,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",.."
"091 212 Hermanninranta,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",.."
"091 212 Hermanninranta,""Kunnallisverotuksessa verotettava tulo € / henkilo"",.."
"091 213 Kylasaari,""Asuntokunnat"",260"
"091 213 Kylasaari,""Henkilot"",319"
"091 213 Kylasaari,""Valtionveronalaiset tulot yhteensa 100 €"",38437"
"091 213 Kylasaari,""Valtionveronalaiset tulot € / asuntokunta"",14783"
"091 213 Kylasaari,""Valtionveronalaiset tulot € / henkilo"",12049"
"091 213 Kylasaari,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",37784"
"091 213 Kylasaari,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",14532"
"091 213 Kylasaari,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",11845"
"091 213 Kylasaari,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",18217"
"091 213 Kylasaari,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",7007"
"091 213 Kylasaari,""Kunnallisverotuksessa verotettava tulo € / henkilo"",5711"
"091 220 Vallila,""Asuntokunnat"",5998"
"091 220 Vallila,""Henkilot"",9821"
"091 220 Vallila,""Valtionveronalaiset tulot yhteensa 100 €"",2934247"
"091 220 Vallila,""Valtionveronalaiset tulot € / asuntokunta"",48920"
"091 220 Vallila,""Valtionveronalaiset tulot € / henkilo"",29877"
"091 220 Vallila,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2802751"
"091 220 Vallila,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",46728"
"091 220 Vallila,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",28538"
"091 220 Vallila,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",2254106"
"091 220 Vallila,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",37581"
"091 220 Vallila,""Kunnallisverotuksessa verotettava tulo € / henkilo"",22952"
"091 304 Pasilan peruspiiri,""Asuntokunnat"",4910"
"091 304 Pasilan peruspiiri,""Henkilot"",9078"
"091 304 Pasilan peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",2355605"
"091 304 Pasilan peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",47976"
"091 304 Pasilan peruspiiri,""Valtionveronalaiset tulot € / henkilo"",25949"
"091 304 Pasilan peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",2254115"
"091 304 Pasilan peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",45909"
"091 304 Pasilan peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",24831"
"091 304 Pasilan peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1821234"
"091 304 Pasilan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",37092"
"091 304 Pasilan peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",20062"
"091 171 Lansi-Pasila,""Asuntokunnat"",2716"
"091 171 Lansi-Pasila,""Henkilot"",5112"
"091 171 Lansi-Pasila,""Valtionveronalaiset tulot yhteensa 100 €"",1457504"
"091 171 Lansi-Pasila,""Valtionveronalaiset tulot € / asuntokunta"",53664"
"091 171 Lansi-Pasila,""Valtionveronalaiset tulot € / henkilo"",28511"
"091 171 Lansi-Pasila,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",1387209"
"091 171 Lansi-Pasila,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",51075"
"091 171 Lansi-Pasila,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",27136"
"091 171 Lansi-Pasila,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",1140820"
"091 171 Lansi-Pasila,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",42004"
"091 171 Lansi-Pasila,""Kunnallisverotuksessa verotettava tulo € / henkilo"",22317"
"091 172 Pohjois-Pasila,""Asuntokunnat"",.."
"091 172 Pohjois-Pasila,""Henkilot"",.."
"091 172 Pohjois-Pasila,""Valtionveronalaiset tulot yhteensa 100 €"",.."
"091 172 Pohjois-Pasila,""Valtionveronalaiset tulot € / asuntokunta"",.."
"091 172 Pohjois-Pasila,""Valtionveronalaiset tulot € / henkilo"",.."
"091 172 Pohjois-Pasila,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 172 Pohjois-Pasila,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",.."
