"Alue,""Tulotyyppi"",""2017"""
"091 70 Ullanlinna,""Kunnallisverotuksessa verotettava tulo € / henkilo"",34993"
"091 90 Kaivopuisto,""Asuntokunnat"",231"
"091 90 Kaivopuisto,""Henkilot"",494"
"091 90 Kaivopuisto,""Valtionveronalaiset tulot yhteensa 100 €"",597731"
"091 90 Kaivopuisto,""Valtionveronalaiset tulot € / asuntokunta"",258758"
"091 90 Kaivopuisto,""Valtionveronalaiset tulot € / henkilo"",120998"
"091 90 Kaivopuisto,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",244849"
"091 90 Kaivopuisto,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",105995"
"091 90 Kaivopuisto,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",49565"
"091 90 Kaivopuisto,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",223399"
"091 90 Kaivopuisto,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",96710"
"091 90 Kaivopuisto,""Kunnallisverotuksessa verotettava tulo € / henkilo"",45222"
"091 204 Hernesaari,""Asuntokunnat"",736"
"091 204 Hernesaari,""Henkilot"",1201"
"091 204 Hernesaari,""Valtionveronalaiset tulot yhteensa 100 €"",913096"
"091 204 Hernesaari,""Valtionveronalaiset tulot € / asuntokunta"",124062"
"091 204 Hernesaari,""Valtionveronalaiset tulot € / henkilo"",76028"
"091 204 Hernesaari,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",519870"
"091 204 Hernesaari,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",70635"
"091 204 Hernesaari,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",43286"
"091 204 Hernesaari,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",453647"
"091 204 Hernesaari,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",61637"
"091 204 Hernesaari,""Kunnallisverotuksessa verotettava tulo € / henkilo"",37772"
"091 520 Suomenlinna,""Asuntokunnat"",309"
"091 520 Suomenlinna,""Henkilot"",736"
"091 520 Suomenlinna,""Valtionveronalaiset tulot yhteensa 100 €"",200705"
"091 520 Suomenlinna,""Valtionveronalaiset tulot € / asuntokunta"",64953"
"091 520 Suomenlinna,""Valtionveronalaiset tulot € / henkilo"",27270"
"091 520 Suomenlinna,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",192332"
"091 520 Suomenlinna,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",62244"
"091 520 Suomenlinna,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",26132"
"091 520 Suomenlinna,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",157957"
"091 520 Suomenlinna,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",51119"
"091 520 Suomenlinna,""Kunnallisverotuksessa verotettava tulo € / henkilo"",21462"
"091 531 Lansisaaret,""Asuntokunnat"",.."
"091 531 Lansisaaret,""Henkilot"",.."
"091 531 Lansisaaret,""Valtionveronalaiset tulot yhteensa 100 €"",.."
"091 531 Lansisaaret,""Valtionveronalaiset tulot € / asuntokunta"",.."
"091 531 Lansisaaret,""Valtionveronalaiset tulot € / henkilo"",.."
"091 531 Lansisaaret,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 531 Lansisaaret,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 531 Lansisaaret,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",.."
"091 531 Lansisaaret,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",.."
"091 531 Lansisaaret,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",.."
"091 531 Lansisaaret,""Kunnallisverotuksessa verotettava tulo € / henkilo"",.."
"091 103 Kampinmalmin peruspiiri,""Asuntokunnat"",21868"
"091 103 Kampinmalmin peruspiiri,""Henkilot"",39271"
"091 103 Kampinmalmin peruspiiri,""Valtionveronalaiset tulot yhteensa 100 €"",16953951"
"091 103 Kampinmalmin peruspiiri,""Valtionveronalaiset tulot € / asuntokunta"",77529"
"091 103 Kampinmalmin peruspiiri,""Valtionveronalaiset tulot € / henkilo"",43172"
"091 103 Kampinmalmin peruspiiri,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",14341797"
"091 103 Kampinmalmin peruspiiri,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",65583"
"091 103 Kampinmalmin peruspiiri,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",36520"
"091 103 Kampinmalmin peruspiiri,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",12261710"
"091 103 Kampinmalmin peruspiiri,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",56071"
"091 103 Kampinmalmin peruspiiri,""Kunnallisverotuksessa verotettava tulo € / henkilo"",31223"
"091 40 Kamppi,""Asuntokunnat"",7367"
"091 40 Kamppi,""Henkilot"",12152"
"091 40 Kamppi,""Valtionveronalaiset tulot yhteensa 100 €"",5912481"
"091 40 Kamppi,""Valtionveronalaiset tulot € / asuntokunta"",80256"
"091 40 Kamppi,""Valtionveronalaiset tulot € / henkilo"",48654"
"091 40 Kamppi,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",4800562"
"091 40 Kamppi,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",65163"
"091 40 Kamppi,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",39504"
"091 40 Kamppi,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",4141747"
"091 40 Kamppi,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",56220"
"091 40 Kamppi,""Kunnallisverotuksessa verotettava tulo € / henkilo"",34083"
"091 130 Etu-Toolo,""Asuntokunnat"",8174"
"091 130 Etu-Toolo,""Henkilot"",14723"
"091 130 Etu-Toolo,""Valtionveronalaiset tulot yhteensa 100 €"",7022309"
"091 130 Etu-Toolo,""Valtionveronalaiset tulot € / asuntokunta"",85910"
"091 130 Etu-Toolo,""Valtionveronalaiset tulot € / henkilo"",47696"
"091 130 Etu-Toolo,""Ansiotulot valtionverotuksessa yhteensa 100 € (Kunnallisveronalaiset tulot v.1993-95)"",5781209"
"091 130 Etu-Toolo,""Ansiotulot valtionverotuksessa € / asuntokunta (Kunnallisveronalaiset tulot v.1993-95)"",70727"
"091 130 Etu-Toolo,""Ansiotulot valtionverotuksessa € / henkilo (Kunnallisveronalaiset tulot v.1993-95)"",39267"
"091 130 Etu-Toolo,""Kunnallisverotuksessa verotettava tulo yhteensa 100 €"",4990035"
"091 130 Etu-Toolo,""Kunnallisverotuksessa verotettava tulo € / asuntokunta"",61048"
"091 130 Etu-Toolo,""Kunnallisverotuksessa verotettava tulo € / henkilo"",33893"
"091 201 Ruoholahti,""Asuntokunnat"",1459"
"091 201 Ruoholahti,""Henkilot"",3029"
"091 201 Ruoholahti,""Valtionveronalaiset tulot yhteensa 100 €"",828435"
"091 201 Ruoholahti,""Valtionveronalaiset tulot € / asuntokunta"",56781"
