"Alue,""Perhetyyppi"",""2022"""
"091 204 Pitajanmaen peruspiiri,""Aviopari ilman lapsia"",1383"
"091 204 Pitajanmaen peruspiiri,""Avopari ilman lapsia"",969"
"091 204 Pitajanmaen peruspiiri,""Aviopari ja lapsia"",1150"
"091 204 Pitajanmaen peruspiiri,""Avopari ja lapsia"",333"
"091 204 Pitajanmaen peruspiiri,""aiti ja lapsia"",619"
"091 204 Pitajanmaen peruspiiri,""Isa ja lapsia"",90"
"091 320 Konala,""Perheet yhteensa"",1619"
"091 320 Konala,""Aviopari ilman lapsia"",517"
"091 320 Konala,""Avopari ilman lapsia"",284"
"091 320 Konala,""Aviopari ja lapsia"",439"
"091 320 Konala,""Avopari ja lapsia"",136"
"091 320 Konala,""aiti ja lapsia"",208"
"091 320 Konala,""Isa ja lapsia"",35"
"091 461 Pajamaki,""Perheet yhteensa"",423"
"091 461 Pajamaki,""Aviopari ilman lapsia"",132"
"091 461 Pajamaki,""Avopari ilman lapsia"",102"
"091 461 Pajamaki,""Aviopari ja lapsia"",90"
"091 461 Pajamaki,""Avopari ja lapsia"",33"
"091 461 Pajamaki,""aiti ja lapsia"",58"
"091 461 Pajamaki,""Isa ja lapsia"",8"
"091 462 Tali,""Perheet yhteensa"",257"
"091 462 Tali,""Aviopari ilman lapsia"",52"
"091 462 Tali,""Avopari ilman lapsia"",61"
"091 462 Tali,""Aviopari ja lapsia"",67"
"091 462 Tali,""Avopari ja lapsia"",16"
"091 462 Tali,""aiti ja lapsia"",58"
"091 462 Tali,""Isa ja lapsia"",3"
"091 463 Reimarla,""Perheet yhteensa"",1191"
"091 463 Reimarla,""Aviopari ilman lapsia"",325"
"091 463 Reimarla,""Avopari ilman lapsia"",287"
"091 463 Reimarla,""Aviopari ja lapsia"",322"
"091 463 Reimarla,""Avopari ja lapsia"",72"
"091 463 Reimarla,""aiti ja lapsia"",161"
"091 463 Reimarla,""Isa ja lapsia"",24"
