"Alue,""Perhetyyppi"",""2022"""
"091 415 Alppikyla,""aiti ja lapsia"",71"
"091 415 Alppikyla,""Isa ja lapsia"",14"
"091 506 Jakomaen peruspiiri,""Perheet yhteensa"",1267"
"091 506 Jakomaen peruspiiri,""Aviopari ilman lapsia"",331"
"091 506 Jakomaen peruspiiri,""Avopari ilman lapsia"",205"
"091 506 Jakomaen peruspiiri,""Aviopari ja lapsia"",308"
"091 506 Jakomaen peruspiiri,""Avopari ja lapsia"",75"
"091 506 Jakomaen peruspiiri,""aiti ja lapsia"",323"
"091 506 Jakomaen peruspiiri,""Isa ja lapsia"",25"
"091 414 Jakomaki,""Perheet yhteensa"",1267"
"091 414 Jakomaki,""Aviopari ilman lapsia"",331"
"091 414 Jakomaki,""Avopari ilman lapsia"",205"
"091 414 Jakomaki,""Aviopari ja lapsia"",308"
"091 414 Jakomaki,""Avopari ja lapsia"",75"
"091 414 Jakomaki,""aiti ja lapsia"",323"
"091 414 Jakomaki,""Isa ja lapsia"",25"
"091 601 Kulosaaren peruspiiri,""Perheet yhteensa"",1101"
"091 601 Kulosaaren peruspiiri,""Aviopari ilman lapsia"",307"
"091 601 Kulosaaren peruspiiri,""Avopari ilman lapsia"",174"
"091 601 Kulosaaren peruspiiri,""Aviopari ja lapsia"",382"
"091 601 Kulosaaren peruspiiri,""Avopari ja lapsia"",80"
"091 601 Kulosaaren peruspiiri,""aiti ja lapsia"",130"
"091 601 Kulosaaren peruspiiri,""Isa ja lapsia"",28"
"091 190 Mustikkamaa-Korkeasaari,""Perheet yhteensa"",.."
"091 190 Mustikkamaa-Korkeasaari,""Aviopari ilman lapsia"",.."
"091 190 Mustikkamaa-Korkeasaari,""Avopari ilman lapsia"",.."
"091 190 Mustikkamaa-Korkeasaari,""Aviopari ja lapsia"",.."
"091 190 Mustikkamaa-Korkeasaari,""Avopari ja lapsia"",.."
"091 190 Mustikkamaa-Korkeasaari,""aiti ja lapsia"",.."
"091 190 Mustikkamaa-Korkeasaari,""Isa ja lapsia"",.."
"091 420 Kulosaari,""Perheet yhteensa"",1096"
"091 420 Kulosaari,""Aviopari ilman lapsia"",305"
"091 420 Kulosaari,""Avopari ilman lapsia"",173"
"091 420 Kulosaari,""Aviopari ja lapsia"",381"
"091 420 Kulosaari,""Avopari ja lapsia"",80"
"091 420 Kulosaari,""aiti ja lapsia"",129"
"091 420 Kulosaari,""Isa ja lapsia"",28"
"091 602 Herttoniemen peruspiiri,""Perheet yhteensa"",7585"
"091 602 Herttoniemen peruspiiri,""Aviopari ilman lapsia"",2026"
"091 602 Herttoniemen peruspiiri,""Avopari ilman lapsia"",1764"
"091 602 Herttoniemen peruspiiri,""Aviopari ja lapsia"",1809"
"091 602 Herttoniemen peruspiiri,""Avopari ja lapsia"",661"
"091 602 Herttoniemen peruspiiri,""aiti ja lapsia"",1149"
"091 602 Herttoniemen peruspiiri,""Isa ja lapsia"",176"
"091 431 Lansi-Herttoniemi,""Perheet yhteensa"",2060"
"091 431 Lansi-Herttoniemi,""Aviopari ilman lapsia"",513"
"091 431 Lansi-Herttoniemi,""Avopari ilman lapsia"",552"
"091 431 Lansi-Herttoniemi,""Aviopari ja lapsia"",460"
"091 431 Lansi-Herttoniemi,""Avopari ja lapsia"",190"
"091 431 Lansi-Herttoniemi,""aiti ja lapsia"",295"
"091 431 Lansi-Herttoniemi,""Isa ja lapsia"",50"
"091 432 Roihuvuori,""Perheet yhteensa"",1939"
"091 432 Roihuvuori,""Aviopari ilman lapsia"",478"
"091 432 Roihuvuori,""Avopari ilman lapsia"",401"
"091 432 Roihuvuori,""Aviopari ja lapsia"",461"
"091 432 Roihuvuori,""Avopari ja lapsia"",205"
"091 432 Roihuvuori,""aiti ja lapsia"",347"
"091 432 Roihuvuori,""Isa ja lapsia"",47"
"091 433 Herttoniemen yritysalue,""Perheet yhteensa"",457"
"091 433 Herttoniemen yritysalue,""Aviopari ilman lapsia"",105"
"091 433 Herttoniemen yritysalue,""Avopari ilman lapsia"",158"
"091 433 Herttoniemen yritysalue,""Aviopari ja lapsia"",83"
"091 433 Herttoniemen yritysalue,""Avopari ja lapsia"",30"
"091 433 Herttoniemen yritysalue,""aiti ja lapsia"",72"
"091 433 Herttoniemen yritysalue,""Isa ja lapsia"",9"
"091 434 Herttoniemenranta,""Perheet yhteensa"",2448"
"091 434 Herttoniemenranta,""Aviopari ilman lapsia"",669"
"091 434 Herttoniemenranta,""Avopari ilman lapsia"",588"
"091 434 Herttoniemenranta,""Aviopari ja lapsia"",563"
"091 434 Herttoniemenranta,""Avopari ja lapsia"",178"
"091 434 Herttoniemenranta,""aiti ja lapsia"",396"
"091 434 Herttoniemenranta,""Isa ja lapsia"",54"
"091 440 Tammisalo,""Perheet yhteensa"",681"
"091 440 Tammisalo,""Aviopari ilman lapsia"",261"
"091 440 Tammisalo,""Avopari ilman lapsia"",65"
"091 440 Tammisalo,""Aviopari ja lapsia"",242"
"091 440 Tammisalo,""Avopari ja lapsia"",58"
"091 440 Tammisalo,""aiti ja lapsia"",39"
"091 440 Tammisalo,""Isa ja lapsia"",16"
"091 603 Laajasalon peruspiiri,""Perheet yhteensa"",6249"
"091 603 Laajasalon peruspiiri,""Aviopari ilman lapsia"",1961"
"091 603 Laajasalon peruspiiri,""Avopari ilman lapsia"",941"
"091 603 Laajasalon peruspiiri,""Aviopari ja lapsia"",1756"
"091 603 Laajasalon peruspiiri,""Avopari ja lapsia"",598"
"091 603 Laajasalon peruspiiri,""aiti ja lapsia"",856"
"091 603 Laajasalon peruspiiri,""Isa ja lapsia"",137"
"091 480 Vartiosaari,""Perheet yhteensa"",.."
"091 480 Vartiosaari,""Aviopari ilman lapsia"",.."
"091 480 Vartiosaari,""Avopari ilman lapsia"",.."
"091 480 Vartiosaari,""Aviopari ja lapsia"",.."
"091 480 Vartiosaari,""Avopari ja lapsia"",.."
"091 480 Vartiosaari,""aiti ja lapsia"",.."
"091 480 Vartiosaari,""Isa ja lapsia"",.."
"091 491 Yliskyla,""Perheet yhteensa"",3559"
"091 491 Yliskyla,""Aviopari ilman lapsia"",1176"
"091 491 Yliskyla,""Avopari ilman lapsia"",532"
"091 491 Yliskyla,""Aviopari ja lapsia"",920"
"091 491 Yliskyla,""Avopari ja lapsia"",324"
"091 491 Yliskyla,""aiti ja lapsia"",522"
"091 491 Yliskyla,""Isa ja lapsia"",85"
"091 492 Jollas,""Perheet yhteensa"",947"
"091 492 Jollas,""Aviopari ilman lapsia"",310"
"091 492 Jollas,""Avopari ilman lapsia"",80"
"091 492 Jollas,""Aviopari ja lapsia"",341"
"091 492 Jollas,""Avopari ja lapsia"",81"
"091 492 Jollas,""aiti ja lapsia"",113"
"091 492 Jollas,""Isa ja lapsia"",22"
"091 493 Tullisaari,""Perheet yhteensa"",375"
"091 493 Tullisaari,""Aviopari ilman lapsia"",113"
"091 493 Tullisaari,""Avopari ilman lapsia"",86"
"091 493 Tullisaari,""Aviopari ja lapsia"",79"
"091 493 Tullisaari,""Avopari ja lapsia"",40"
"091 493 Tullisaari,""aiti ja lapsia"",53"
"091 493 Tullisaari,""Isa ja lapsia"",4"
"091 494 Kruunuvuorenranta,""Perheet yhteensa"",801"
"091 494 Kruunuvuorenranta,""Aviopari ilman lapsia"",214"
"091 494 Kruunuvuorenranta,""Avopari ilman lapsia"",162"
"091 494 Kruunuvuorenranta,""Aviopari ja lapsia"",227"
"091 494 Kruunuvuorenranta,""Avopari ja lapsia"",86"
"091 494 Kruunuvuorenranta,""aiti ja lapsia"",101"
"091 494 Kruunuvuorenranta,""Isa ja lapsia"",11"
"091 495 Hevossalmi,""Perheet yhteensa"",484"
"091 495 Hevossalmi,""Aviopari ilman lapsia"",129"
"091 495 Hevossalmi,""Avopari ilman lapsia"",55"
"091 495 Hevossalmi,""Aviopari ja lapsia"",170"
"091 495 Hevossalmi,""Avopari ja lapsia"",59"
"091 495 Hevossalmi,""aiti ja lapsia"",61"
"091 495 Hevossalmi,""Isa ja lapsia"",10"
"091 500 Villinki,""Perheet yhteensa"",.."
"091 500 Villinki,""Aviopari ilman lapsia"",.."
"091 500 Villinki,""Avopari ilman lapsia"",.."
"091 500 Villinki,""Aviopari ja lapsia"",.."
"091 500 Villinki,""Avopari ja lapsia"",.."
"091 500 Villinki,""aiti ja lapsia"",.."
"091 500 Villinki,""Isa ja lapsia"",.."
"091 510 Santahamina,""Perheet yhteensa"",.."
"091 510 Santahamina,""Aviopari ilman lapsia"",.."
"091 510 Santahamina,""Avopari ilman lapsia"",.."
"091 510 Santahamina,""Aviopari ja lapsia"",.."
"091 510 Santahamina,""Avopari ja lapsia"",.."
"091 510 Santahamina,""aiti ja lapsia"",.."
"091 510 Santahamina,""Isa ja lapsia"",.."
"091 532 Itasaaret,""Perheet yhteensa"",.."
"091 532 Itasaaret,""Aviopari ilman lapsia"",.."
"091 532 Itasaaret,""Avopari ilman lapsia"",.."
"091 532 Itasaaret,""Aviopari ja lapsia"",.."
"091 532 Itasaaret,""Avopari ja lapsia"",.."
"091 532 Itasaaret,""aiti ja lapsia"",.."
"091 532 Itasaaret,""Isa ja lapsia"",.."
"091 701 Vartiokylan peruspiiri,""Perheet yhteensa"",5458"
"091 701 Vartiokylan peruspiiri,""Aviopari ilman lapsia"",1747"
"091 701 Vartiokylan peruspiiri,""Avopari ilman lapsia"",853"
"091 701 Vartiokylan peruspiiri,""Aviopari ja lapsia"",1530"
"091 701 Vartiokylan peruspiiri,""Avopari ja lapsia"",426"
"091 701 Vartiokylan peruspiiri,""aiti ja lapsia"",780"
"091 701 Vartiokylan peruspiiri,""Isa ja lapsia"",122"
"091 451 Vartioharju,""Perheet yhteensa"",1822"
"091 451 Vartioharju,""Aviopari ilman lapsia"",625"
"091 451 Vartioharju,""Avopari ilman lapsia"",239"
"091 451 Vartioharju,""Aviopari ja lapsia"",567"
"091 451 Vartioharju,""Avopari ja lapsia"",177"
"091 451 Vartioharju,""aiti ja lapsia"",172"
"091 451 Vartioharju,""Isa ja lapsia"",42"
"091 452 Puotila,""Perheet yhteensa"",1058"
"091 452 Puotila,""Aviopari ilman lapsia"",314"
"091 452 Puotila,""Avopari ilman lapsia"",222"
"091 452 Puotila,""Aviopari ja lapsia"",223"
"091 452 Puotila,""Avopari ja lapsia"",92"
"091 452 Puotila,""aiti ja lapsia"",185"
"091 452 Puotila,""Isa ja lapsia"",22"
"091 453 Puotinharju,""Perheet yhteensa"",943"
"091 453 Puotinharju,""Aviopari ilman lapsia"",287"
"091 453 Puotinharju,""Avopari ilman lapsia"",168"
"091 453 Puotinharju,""Aviopari ja lapsia"",244"
"091 453 Puotinharju,""Avopari ja lapsia"",53"
"091 453 Puotinharju,""aiti ja lapsia"",167"
"091 453 Puotinharju,""Isa ja lapsia"",24"
"091 455 Marjaniemi,""Perheet yhteensa"",641"
"091 455 Marjaniemi,""Aviopari ilman lapsia"",255"
"091 455 Marjaniemi,""Avopari ilman lapsia"",57"
"091 455 Marjaniemi,""Aviopari ja lapsia"",243"
"091 455 Marjaniemi,""Avopari ja lapsia"",39"
"091 455 Marjaniemi,""aiti ja lapsia"",37"
"091 455 Marjaniemi,""Isa ja lapsia"",10"
"091 456 Roihupelto,""Perheet yhteensa"",.."
"091 456 Roihupelto,""Aviopari ilman lapsia"",.."
"091 456 Roihupelto,""Avopari ilman lapsia"",.."
"091 456 Roihupelto,""Aviopari ja lapsia"",.."
"091 456 Roihupelto,""Avopari ja lapsia"",.."
"091 456 Roihupelto,""aiti ja lapsia"",.."
"091 456 Roihupelto,""Isa ja lapsia"",.."
"091 457 Itakeskus,""Perheet yhteensa"",990"
"091 457 Itakeskus,""Aviopari ilman lapsia"",266"
"091 457 Itakeskus,""Avopari ilman lapsia"",163"
"091 457 Itakeskus,""Aviopari ja lapsia"",253"
"091 457 Itakeskus,""Avopari ja lapsia"",65"
"091 457 Itakeskus,""aiti ja lapsia"",219"
"091 457 Itakeskus,""Isa ja lapsia"",24"
"091 702 Myllypuron peruspiiri,""Perheet yhteensa"",3294"
"091 702 Myllypuron peruspiiri,""Aviopari ilman lapsia"",983"
"091 702 Myllypuron peruspiiri,""Avopari ilman lapsia"",516"
"091 702 Myllypuron peruspiiri,""Aviopari ja lapsia"",892"
"091 702 Myllypuron peruspiiri,""Avopari ja lapsia"",294"
"091 702 Myllypuron peruspiiri,""aiti ja lapsia"",513"
"091 702 Myllypuron peruspiiri,""Isa ja lapsia"",96"
"091 454 Myllypuro,""Perheet yhteensa"",3294"
"091 454 Myllypuro,""Aviopari ilman lapsia"",983"
"091 454 Myllypuro,""Avopari ilman lapsia"",516"
"091 454 Myllypuro,""Aviopari ja lapsia"",892"
"091 454 Myllypuro,""Avopari ja lapsia"",294"
"091 454 Myllypuro,""aiti ja lapsia"",513"
"091 454 Myllypuro,""Isa ja lapsia"",96"
"091 703 Mellunkylan peruspiiri,""Perheet yhteensa"",9482"
"091 703 Mellunkylan peruspiiri,""Aviopari ilman lapsia"",2861"
"091 703 Mellunkylan peruspiiri,""Avopari ilman lapsia"",1347"
"091 703 Mellunkylan peruspiiri,""Aviopari ja lapsia"",2540"
"091 703 Mellunkylan peruspiiri,""Avopari ja lapsia"",656"
"091 703 Mellunkylan peruspiiri,""aiti ja lapsia"",1825"
"091 703 Mellunkylan peruspiiri,""Isa ja lapsia"",253"
"091 471 Kontula,""Perheet yhteensa"",3345"
"091 471 Kontula,""Aviopari ilman lapsia"",1002"
"091 471 Kontula,""Avopari ilman lapsia"",467"
"091 471 Kontula,""Aviopari ja lapsia"",885"
"091 471 Kontula,""Avopari ja lapsia"",212"
"091 471 Kontula,""aiti ja lapsia"",680"
"091 471 Kontula,""Isa ja lapsia"",99"
"091 472 Vesala,""Perheet yhteensa"",1876"
"091 472 Vesala,""Aviopari ilman lapsia"",562"
"091 472 Vesala,""Avopari ilman lapsia"",249"
"091 472 Vesala,""Aviopari ja lapsia"",503"
"091 472 Vesala,""Avopari ja lapsia"",148"
"091 472 Vesala,""aiti ja lapsia"",366"
"091 472 Vesala,""Isa ja lapsia"",48"
"091 473 Mellunmaki,""Perheet yhteensa"",2226"
"091 473 Mellunmaki,""Aviopari ilman lapsia"",782"
"091 473 Mellunmaki,""Avopari ilman lapsia"",341"
"091 473 Mellunmaki,""Aviopari ja lapsia"",535"
"091 473 Mellunmaki,""Avopari ja lapsia"",159"
"091 473 Mellunmaki,""aiti ja lapsia"",360"
"091 473 Mellunmaki,""Isa ja lapsia"",49"
"091 474 Kivikko,""Perheet yhteensa"",1304"
"091 474 Kivikko,""Aviopari ilman lapsia"",327"
"091 474 Kivikko,""Avopari ilman lapsia"",161"
"091 474 Kivikko,""Aviopari ja lapsia"",401"
"091 474 Kivikko,""Avopari ja lapsia"",91"
"091 474 Kivikko,""aiti ja lapsia"",286"
"091 474 Kivikko,""Isa ja lapsia"",38"
"091 475 Kurkimaki,""Perheet yhteensa"",731"
"091 475 Kurkimaki,""Aviopari ilman lapsia"",188"
"091 475 Kurkimaki,""Avopari ilman lapsia"",129"
"091 475 Kurkimaki,""Aviopari ja lapsia"",216"
"091 475 Kurkimaki,""Avopari ja lapsia"",46"
"091 475 Kurkimaki,""aiti ja lapsia"",133"
"091 475 Kurkimaki,""Isa ja lapsia"",19"
"091 704 Vuosaaren peruspiiri,""Perheet yhteensa"",9901"
"091 704 Vuosaaren peruspiiri,""Aviopari ilman lapsia"",3185"
"091 704 Vuosaaren peruspiiri,""Avopari ilman lapsia"",1488"
"091 704 Vuosaaren peruspiiri,""Aviopari ja lapsia"",2505"
"091 704 Vuosaaren peruspiiri,""Avopari ja lapsia"",714"
"091 704 Vuosaaren peruspiiri,""aiti ja lapsia"",1765"
"091 704 Vuosaaren peruspiiri,""Isa ja lapsia"",244"
"091 541 Keski-Vuosaari,""Perheet yhteensa"",3417"
"091 541 Keski-Vuosaari,""Aviopari ilman lapsia"",1125"
"091 541 Keski-Vuosaari,""Avopari ilman lapsia"",525"
"091 541 Keski-Vuosaari,""Aviopari ja lapsia"",854"
"091 541 Keski-Vuosaari,""Avopari ja lapsia"",270"
"091 541 Keski-Vuosaari,""aiti ja lapsia"",562"
"091 541 Keski-Vuosaari,""Isa ja lapsia"",81"
"091 542 Nordsjon kartano,""Perheet yhteensa"",.."
"091 542 Nordsjon kartano,""Aviopari ilman lapsia"",.."
"091 542 Nordsjon kartano,""Avopari ilman lapsia"",.."
"091 542 Nordsjon kartano,""Aviopari ja lapsia"",.."
"091 542 Nordsjon kartano,""Avopari ja lapsia"",.."
"091 542 Nordsjon kartano,""aiti ja lapsia"",.."
"091 542 Nordsjon kartano,""Isa ja lapsia"",.."
"091 543 Uutela,""Perheet yhteensa"",.."
"091 543 Uutela,""Aviopari ilman lapsia"",.."
"091 543 Uutela,""Avopari ilman lapsia"",.."
"091 543 Uutela,""Aviopari ja lapsia"",.."
"091 543 Uutela,""Avopari ja lapsia"",.."
"091 543 Uutela,""aiti ja lapsia"",.."
"091 543 Uutela,""Isa ja lapsia"",.."
"091 544 Meri-Rastila,""Perheet yhteensa"",1358"
"091 544 Meri-Rastila,""Aviopari ilman lapsia"",390"
"091 544 Meri-Rastila,""Avopari ilman lapsia"",219"
"091 544 Meri-Rastila,""Aviopari ja lapsia"",359"
"091 544 Meri-Rastila,""Avopari ja lapsia"",84"
"091 544 Meri-Rastila,""aiti ja lapsia"",285"
"091 544 Meri-Rastila,""Isa ja lapsia"",21"
"091 545 Kallahti,""Perheet yhteensa"",1618"
"091 545 Kallahti,""Aviopari ilman lapsia"",439"
"091 545 Kallahti,""Avopari ilman lapsia"",208"
"091 545 Kallahti,""Aviopari ja lapsia"",403"
"091 545 Kallahti,""Avopari ja lapsia"",99"
"091 545 Kallahti,""aiti ja lapsia"",412"
"091 545 Kallahti,""Isa ja lapsia"",57"
"091 546 Aurinkolahti,""Perheet yhteensa"",2251"
"091 546 Aurinkolahti,""Aviopari ilman lapsia"",830"
"091 546 Aurinkolahti,""Avopari ilman lapsia"",411"
"091 546 Aurinkolahti,""Aviopari ja lapsia"",507"
"091 546 Aurinkolahti,""Avopari ja lapsia"",163"
"091 546 Aurinkolahti,""aiti ja lapsia"",293"
"091 546 Aurinkolahti,""Isa ja lapsia"",47"
"091 547 Rastila,""Perheet yhteensa"",1253"
"091 547 Rastila,""Aviopari ilman lapsia"",400"
"091 547 Rastila,""Avopari ilman lapsia"",124"
"091 547 Rastila,""Aviopari ja lapsia"",382"
"091 547 Rastila,""Avopari ja lapsia"",98"
"091 547 Rastila,""aiti ja lapsia"",212"
"091 547 Rastila,""Isa ja lapsia"",37"
"091 548 Niinisaari,""Perheet yhteensa"",.."
"091 548 Niinisaari,""Aviopari ilman lapsia"",.."
"091 548 Niinisaari,""Avopari ilman lapsia"",.."
"091 548 Niinisaari,""Aviopari ja lapsia"",.."
"091 548 Niinisaari,""Avopari ja lapsia"",.."
"091 548 Niinisaari,""aiti ja lapsia"",.."
"091 548 Niinisaari,""Isa ja lapsia"",.."
"091 549 Mustavuori,""Perheet yhteensa"",.."
"091 549 Mustavuori,""Aviopari ilman lapsia"",.."
"091 549 Mustavuori,""Avopari ilman lapsia"",.."
"091 549 Mustavuori,""Aviopari ja lapsia"",.."
"091 549 Mustavuori,""Avopari ja lapsia"",.."
"091 549 Mustavuori,""aiti ja lapsia"",.."
"091 549 Mustavuori,""Isa ja lapsia"",.."
"091 801 ostersundomin peruspiiri,""Perheet yhteensa"",542"
"091 801 ostersundomin peruspiiri,""Aviopari ilman lapsia"",176"
"091 801 ostersundomin peruspiiri,""Avopari ilman lapsia"",53"
"091 801 ostersundomin peruspiiri,""Aviopari ja lapsia"",218"
"091 801 ostersundomin peruspiiri,""Avopari ja lapsia"",40"
"091 801 ostersundomin peruspiiri,""aiti ja lapsia"",32"
"091 801 ostersundomin peruspiiri,""Isa ja lapsia"",23"
"091 550 ostersundom,""Perheet yhteensa"",123"
"091 550 ostersundom,""Aviopari ilman lapsia"",39"
"091 550 ostersundom,""Avopari ilman lapsia"",20"
"091 550 ostersundom,""Aviopari ja lapsia"",37"
"091 550 ostersundom,""Avopari ja lapsia"",8"
"091 550 ostersundom,""aiti ja lapsia"",10"
"091 550 ostersundom,""Isa ja lapsia"",9"
"091 560 Salmenkallio,""Perheet yhteensa"",.."
"091 560 Salmenkallio,""Aviopari ilman lapsia"",.."
"091 560 Salmenkallio,""Avopari ilman lapsia"",.."
"091 560 Salmenkallio,""Aviopari ja lapsia"",.."
"091 560 Salmenkallio,""Avopari ja lapsia"",.."
"091 560 Salmenkallio,""aiti ja lapsia"",.."
"091 560 Salmenkallio,""Isa ja lapsia"",.."
"091 570 Talosaari,""Perheet yhteensa"",.."
"091 570 Talosaari,""Aviopari ilman lapsia"",.."
"091 570 Talosaari,""Avopari ilman lapsia"",.."
"091 570 Talosaari,""Aviopari ja lapsia"",.."
"091 570 Talosaari,""Avopari ja lapsia"",.."
"091 570 Talosaari,""aiti ja lapsia"",.."
"091 570 Talosaari,""Isa ja lapsia"",.."
"091 580 Karhusaari,""Perheet yhteensa"",127"
"091 580 Karhusaari,""Aviopari ilman lapsia"",43"
"091 580 Karhusaari,""Avopari ilman lapsia"",9"
"091 580 Karhusaari,""Aviopari ja lapsia"",54"
"091 580 Karhusaari,""Avopari ja lapsia"",11"
"091 580 Karhusaari,""aiti ja lapsia"",5"
"091 580 Karhusaari,""Isa ja lapsia"",5"
"091 591 Landbo,""Perheet yhteensa"",218"
"091 591 Landbo,""Aviopari ilman lapsia"",64"
"091 591 Landbo,""Avopari ilman lapsia"",12"
"091 591 Landbo,""Aviopari ja lapsia"",107"
"091 591 Landbo,""Avopari ja lapsia"",15"
"091 591 Landbo,""aiti ja lapsia"",14"
"091 591 Landbo,""Isa ja lapsia"",6"
"091 592 Puroniitty,""Perheet yhteensa"",.."
"091 592 Puroniitty,""Aviopari ilman lapsia"",.."
"091 592 Puroniitty,""Avopari ilman lapsia"",.."
"091 592 Puroniitty,""Aviopari ja lapsia"",.."
"091 592 Puroniitty,""Avopari ja lapsia"",.."
"091 592 Puroniitty,""aiti ja lapsia"",.."
"091 592 Puroniitty,""Isa ja lapsia"",.."
"091 999 Muut,""Perheet yhteensa"",.."
"091 999 Muut,""Aviopari ilman lapsia"",.."
"091 999 Muut,""Avopari ilman lapsia"",.."
"091 999 Muut,""Aviopari ja lapsia"",.."
"091 999 Muut,""Avopari ja lapsia"",.."
"091 999 Muut,""aiti ja lapsia"",.."
"091 999 Muut,""Isa ja lapsia"",.."
"091 998 Kantakaupunki,""Perheet yhteensa"",50386"
"091 998 Kantakaupunki,""Aviopari ilman lapsia"",14357"
"091 998 Kantakaupunki,""Avopari ilman lapsia"",15675"
"091 998 Kantakaupunki,""Aviopari ja lapsia"",10220"
"091 998 Kantakaupunki,""Avopari ja lapsia"",3900"
"091 998 Kantakaupunki,""aiti ja lapsia"",5278"
"091 998 Kantakaupunki,""Isa ja lapsia"",956"
"091 997 Esikaupungit,""Perheet yhteensa"",111031"
"091 997 Esikaupungit,""Aviopari ilman lapsia"",33207"
"091 997 Esikaupungit,""Avopari ilman lapsia"",19196"
"091 997 Esikaupungit,""Aviopari ja lapsia"",30628"
"091 997 Esikaupungit,""Avopari ja lapsia"",9297"
"091 997 Esikaupungit,""aiti ja lapsia"",16165"
"091 997 Esikaupungit,""Isa ja lapsia"",2538"
