"Alue,""Paaasiallinen toiminta"",""Sukupuoli"",""Vaesto yhteensa 2021"",""15-64-vuotiaat yhteensa 2021"",""0-14-vuotiaat 2021"",""15-29-vuotiaat 2021"",""30-44-vuotiaat 2021"",""45-59-vuotiaat 2021"",""Yli 60-vuotiaat 2021"""
"091 30 Kaartinkaupunki,""Koko vaesto"",""Miehet"",525,364,68,92,117,125,123"
"091 30 Kaartinkaupunki,""Koko vaesto"",""Naiset"",536,376,54,130,104,106,142"
"091 30 Kaartinkaupunki,""Tyovoima"",""Yhteensa"",586,578,0,133,184,208,61"
"091 30 Kaartinkaupunki,""Tyovoima"",""Miehet"",300,296,0,53,102,117,-1"
"091 30 Kaartinkaupunki,""Tyovoima"",""Naiset"",286,282,0,80,82,91,-1"
"091 30 Kaartinkaupunki,""Tyolliset"",""Yhteensa"",556,548,0,130,173,197,56"
"091 30 Kaartinkaupunki,""Tyolliset"",""Miehet"",282,278,0,51,93,113,-1"
"091 30 Kaartinkaupunki,""Tyolliset"",""Naiset"",274,270,0,79,80,84,-1"
"091 30 Kaartinkaupunki,""Tyottomat"",""Yhteensa"",30,30,0,-1,11,11,-1"
"091 30 Kaartinkaupunki,""Tyottomat"",""Miehet"",18,-1,0,-1,-1,-1,-1"
"091 30 Kaartinkaupunki,""Tyottomat"",""Naiset"",12,-1,0,-1,-1,-1,-1"
"091 30 Kaartinkaupunki,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",475,162,122,89,37,23,204"
"091 30 Kaartinkaupunki,""Tyovoiman ulkopuolella olevat"",""Miehet"",225,-1,68,39,-1,-1,95"
"091 30 Kaartinkaupunki,""Tyovoiman ulkopuolella olevat"",""Naiset"",250,-1,54,50,-1,-1,109"
"091 30 Kaartinkaupunki,""0-14-vuotiaat"",""Yhteensa"",122,0,122,0,0,0,0"
"091 30 Kaartinkaupunki,""0-14-vuotiaat"",""Miehet"",68,0,68,0,0,0,0"
"091 30 Kaartinkaupunki,""0-14-vuotiaat"",""Naiset"",54,0,54,0,0,0,0"
"091 30 Kaartinkaupunki,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",90,-1,0,-1,11,-1,-1"
"091 30 Kaartinkaupunki,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",-1,-1,0,-1,-1,-1,-1"
"091 30 Kaartinkaupunki,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",54,-1,0,44,-1,-1,0"
"091 30 Kaartinkaupunki,""Elakelaiset ja muut"",""Yhteensa"",263,72,0,13,26,21,203"
"091 30 Kaartinkaupunki,""Elakelaiset ja muut"",""Miehet"",121,-1,0,-1,-1,-1,-1"
"091 30 Kaartinkaupunki,""Elakelaiset ja muut"",""Naiset"",142,-1,0,-1,-1,-1,-1"
"091 50 Punavuori,""Koko vaesto"",""Yhteensa"",9267,6931,898,2487,2482,1571,1829"
"091 50 Punavuori,""Koko vaesto"",""Miehet"",4310,3257,461,1016,1254,798,781"
"091 50 Punavuori,""Koko vaesto"",""Naiset"",4957,3674,437,1471,1228,773,1048"
"091 50 Punavuori,""Tyovoima"",""Yhteensa"",5714,5642,0,1777,2197,1379,361"
"091 50 Punavuori,""Tyovoima"",""Miehet"",2658,2621,0,689,1113,692,164"
"091 50 Punavuori,""Tyovoima"",""Naiset"",3056,3021,0,1088,1084,687,197"
"091 50 Punavuori,""Tyolliset"",""Yhteensa"",5272,5200,0,1686,2054,1215,317"
"091 50 Punavuori,""Tyolliset"",""Miehet"",2424,2387,0,641,1043,593,147"
"091 50 Punavuori,""Tyolliset"",""Naiset"",2848,2813,0,1045,1011,622,170"
"091 50 Punavuori,""Tyottomat"",""Yhteensa"",442,442,0,91,143,164,44"
"091 50 Punavuori,""Tyottomat"",""Miehet"",234,-1,0,-1,70,99,17"
"091 50 Punavuori,""Tyottomat"",""Naiset"",208,208,0,43,73,65,27"
"091 50 Punavuori,""Tyovoiman ulkopuolella olevat"",""Yhteensa"",3553,1289,898,710,285,192,1468"
"091 50 Punavuori,""Tyovoiman ulkopuolella olevat"",""Miehet"",1652,636,461,327,141,106,617"
"091 50 Punavuori,""Tyovoiman ulkopuolella olevat"",""Naiset"",1901,653,437,383,144,86,851"
"091 50 Punavuori,""0-14-vuotiaat"",""Yhteensa"",898,0,898,0,0,0,0"
"091 50 Punavuori,""0-14-vuotiaat"",""Miehet"",461,0,461,0,0,0,0"
"091 50 Punavuori,""0-14-vuotiaat"",""Naiset"",437,0,437,0,0,0,0"
"091 50 Punavuori,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Yhteensa"",734,729,0,609,90,26,-1"
"091 50 Punavuori,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Miehet"",334,-1,0,-1,38,-1,-1"
"091 50 Punavuori,""Opiskelijat, koululaiset, varus- ja siviilipalvelu"",""Naiset"",400,-1,0,-1,52,-1,-1"
"091 50 Punavuori,""Elakelaiset ja muut"",""Yhteensa"",1921,560,0,101,195,166,1459"
"091 50 Punavuori,""Elakelaiset ja muut"",""Miehet"",857,-1,0,-1,-1,-1,-1"
"091 50 Punavuori,""Elakelaiset ja muut"",""Naiset"",1064,-1,0,-1,-1,-1,-1"
"091 60 Eira,""Koko vaesto"",""Yhteensa"",1083,708,178,144,237,246,278"
