INDEX;ASUKKAITA;ASVALJYYS;IKA0_9;IKA10_19;IKA20_29;IKA30_39;IKA40_49;IKA50_59;IKA60_69;IKA70_79;IKA_YLI80
16610;426;34.52;78;52;31;63;71;60;32;26;13
16611;167;44.63;19;16;10;18;35;22;26;17;4
16612;281;34.9;20;28;11;45;30;39;65;34;9
16613;338;32.75;30;42;37;48;77;33;40;29;2
16614;313;27.7;47;13;29;80;58;27;25;28;6
16615;264;23.23;24;30;25;48;38;25;33;29;12
16616;308;55.61;35;26;23;38;35;39;41;36;35
16617;213;33.84;25;17;18;43;31;21;38;17;3
16619;174;43.85;0;103;36;11;5;11;4;3;1
16620;8;999999999;99;99;99;99;99;99;99;99;99
16622;1061;34.83;64;35;222;317;145;107;79;65;27
16623;1026;32.79;41;33;297;250;139;75;76;90;25
16624;903;34.02;49;50;216;219;116;88;67;56;42
16625;1671;30.59;64;60;400;373;256;186;151;128;53
16626;1401;33.87;54;47;389;343;183;141;85;103;56
16627;212;44.33;14;18;16;37;29;35;26;25;12
16628;721;34.35;26;36;153;167;103;85;76;49;26
16630;72;46.46;99;99;99;99;99;99;99;99;99
16631;270;37.61;11;20;58;48;48;36;28;20;1
16633;118;51.19;3;10;16;15;23;19;11;15;6
16634;496;44.07;35;36;81;77;55;79;59;55;19
16635;833;42.76;65;77;170;139;105;123;68;64;22
16636;1536;35.89;103;124;283;246;191;188;179;142;80
16637;2075;43.95;153;145;410;357;308;252;190;176;84
16638;516;60.25;54;34;79;68;71;70;58;53;29
16738;101;33.21;21;8;15;25;12;6;6;8;0
16739;229;37.41;24;17;29;48;43;26;20;18;4
16740;167;34.91;18;14;21;43;27;23;15;6;0
16743;11;67.09;99;99;99;99;99;99;99;99;99
16751;118;36.17;13;13;7;18;14;20;22;6;5
16752;195;39.12;24;26;20;26;26;30;23;19;1
16753;138;38.95;15;27;6;9;39;17;15;8;2
16754;131;41.64;18;24;3;13;23;19;14;12;5
16755;104;34.21;13;26;4;4;24;14;12;6;1
16757;248;34.23;51;55;12;34;41;35;16;3;1
16758;140;41.8;21;15;5;19;21;27;9;16;7
16759;220;43.21;21;22;11;21;36;45;32;19;13
16760;178;37.25;24;29;16;36;27;18;12;8;8
16761;211;42.75;30;24;4;38;25;25;28;24;13
16762;202;46.41;31;21;5;36;31;26;31;18;3
16763;51;43.65;99;99;99;99;99;99;99;99;99
16764;168;36.57;13;21;16;31;33;18;13;11;12
16765;323;40.85;39;44;22;44;52;47;23;35;17
16766;223;41.83;26;30;16;34;46;26;16;22;7
16767;676;32.87;91;35;77;157;102;59;75;52;28
16768;314;38.61;35;34;39;56;45;32;30;33;10
16769;523;34.86;54;50;60;106;79;47;48;46;33
16770;108;48.6;9;12;13;17;24;7;9;9;8
16772;79;16.59;99;99;99;99;99;99;99;99;99
16773;310;29.76;32;36;21;51;50;51;40;17;12
16774;361;34.59;21;22;42;90;40;44;41;37;24
16775;646;27.33;80;44;48;158;114;59;61;56;26
16776;73;63.67;99;99;99;99;99;99;99;99;99
16778;34;47.53;99;99;99;99;99;99;99;99;99
16779;348;30.9;53;41;12;71;57;32;43;28;11
16781;1168;25.13;38;58;656;204;72;40;42;38;20
16782;333;24.99;2;4;67;101;64;51;26;13;5
16783;55;23.75;99;99;99;99;99;99;99;99;99
16784;176;74.93;17;13;27;44;40;16;11;5;3
16785;1908;27.34;58;62;543;514;237;166;156;104;68
16786;1677;35.95;52;50;532;451;190;153;110;103;36
16787;1460;32.08;51;58;440;383;213;112;96;85;22
16788;2243;33.38;104;74;617;583;287;188;164;155;71
16789;1380;28.96;67;56;346;347;186;125;118;87;48
16790;197;41.45;5;5;41;42;25;20;28;18;13
16791;690;41.25;63;53;102;137;97;87;62;67;22
16792;910;40.77;57;95;166;157;127;117;79;68;44
16793;29;36.1;99;99;99;99;99;99;99;99;99
16796;274;33.71;23;21;52;27;39;39;36;26;11
16797;205;33.52;27;25;9;17;36;35;22;19;15
16798;564;72.4;57;56;71;71;90;73;65;59;22
16799;875;54.45;78;73;112;114;110;103;112;120;53
16903;218;32.6;21;38;32;53;33;14;14;7;6
16904;188;31.02;45;24;32;33;29;14;8;3;0
16905;495;31.75;71;118;28;48;104;89;30;6;1
16906;184;30.91;34;38;4;26;39;36;6;1;0
16909;118;30.66;19;31;4;11;34;13;4;2;0
16910;13;33.38;99;99;99;99;99;99;99;99;99
16913;109;36.48;12;39;4;4;31;13;5;0;1
16914;142;45.1;15;29;5;16;28;23;10;13;3
16915;193;38.94;27;40;8;16;34;29;15;17;7
16916;157;34.47;28;36;4;17;36;23;6;5;2
16919;62;34.35;99;99;99;99;99;99;99;99;99
16920;187;42.21;24;28;16;15;39;21;31;9;4
16921;263;39.73;42;35;12;36;41;17;31;28;21
16922;146;31.36;25;25;5;17;39;13;8;9;5
16923;253;41.17;27;45;13;23;38;32;36;22;17
16924;190;49.06;16;29;5;17;34;37;30;14;8
16925;29;35.34;99;99;99;99;99;99;99;99;99
