Taulu 17C Yksinasuvat (=yhden hengen asuntokunnat) sukupuolen ja iän mukaan peruspiireittäin vuodevaihteessa 2021/2022. Lähde: Tilastokeskus;;;;;;;;;;;;;;
Suurpiiri;Peruspiiri;Sukupuoli;Yhteensä;Ikä, vuotta -19;Ikä, vuotta 20-29;Ikä, vuotta 30-39;Ikä, vuotta 40-49;Ikä, vuotta 50-59;Ikä, vuotta 60-64;Ikä, vuotta 65-69;Ikä, vuotta 70-74;Ikä, vuotta 75-79;Ikä, vuotta 80-84;Ikä, vuotta '85-
4 Pohjoinen suurpiiri;4 Pohjoinen suurpiiri;Yhteensä ;8,018;62;1,068;1,121;840;1,179;692;660;711;592;484;609
4 Pohjoinen suurpiiri;4 Pohjoinen suurpiiri;Miehet ;3,472;21;524;639;533;594;285;234;218;171;119;134
4 Pohjoinen suurpiiri;4 Pohjoinen suurpiiri;Naiset ;4,546;41;544;482;307;585;407;426;493;421;365;475
4 Pohjoinen suurpiiri;  401 Maunula;Yhteensä ;2,853;25;417;423;290;431;239;257;255;184;157;175
4 Pohjoinen suurpiiri;  401 Maunula;Miehet ;1,285;9;222;253;186;224;104;94;84;46;35;28
4 Pohjoinen suurpiiri;  401 Maunula;Naiset ;1,568;16;195;170;104;207;135;163;171;138;122;147
4 Pohjoinen suurpiiri;  402 Länsi-Pakila;Yhteensä ;726;4;32;66;73;96;77;64;70;78;67;99
4 Pohjoinen suurpiiri;  402 Länsi-Pakila;Miehet ;338;1;12;47;58;59;34;25;22;29;25;26
4 Pohjoinen suurpiiri;  402 Länsi-Pakila;Naiset ;388;3;20;19;15;37;43;39;48;49;42;73
4 Pohjoinen suurpiiri;  403 Tuomarinkylä;Yhteensä ;648;1;19;45;53;108;79;63;95;88;41;56
4 Pohjoinen suurpiiri;  403 Tuomarinkylä;Miehet ;264;0;9;26;37;49;36;26;27;34;9;11
4 Pohjoinen suurpiiri;  403 Tuomarinkylä;Naiset ;384;1;10;19;16;59;43;37;68;54;32;45
4 Pohjoinen suurpiiri;  404 Oulunkylä;Yhteensä ;3,463;30;585;553;385;478;265;252;264;214;190;247
4 Pohjoinen suurpiiri;  404 Oulunkylä;Miehet ;1,433;10;274;289;232;223;98;83;72;52;41;59
4 Pohjoinen suurpiiri;  404 Oulunkylä;Naiset ;2,030;20;311;264;153;255;167;169;192;162;149;188
4 Pohjoinen suurpiiri;  405 Itä-Pakila;Yhteensä ;328;2;15;34;39;66;32;24;27;28;29;32
4 Pohjoinen suurpiiri;  405 Itä-Pakila;Miehet ;152;1;7;24;20;39;13;6;13;10;9;10
4 Pohjoinen suurpiiri;  405 Itä-Pakila;Naiset ;176;1;8;10;19;27;19;18;14;18;20;22
5 Koillinen suurpiiri;5 Koillinen suurpiiri;Yhteensä ;21,252;230;3,188;3,053;2,352;3,391;1,829;1,790;1,784;1,361;1,157;1,117
5 Koillinen suurpiiri;5 Koillinen suurpiiri;Miehet ;9,334;91;1,638;1,904;1,449;1,597;694;589;521;342;262;247
5 Koillinen suurpiiri;5 Koillinen suurpiiri;Naiset ;11,918;139;1,550;1,149;903;1,794;1,135;1,201;1,263;1,019;895;870
5 Koillinen suurpiiri;  501 Latokartano;Yhteensä ;6,094;69;1,147;947;700;948;499;436;455;325;286;282
5 Koillinen suurpiiri;  501 Latokartano;Miehet ;2,639;24;529;569;421;448;180;146;124;78;62;58
5 Koillinen suurpiiri;  501 Latokartano;Naiset ;3,455;45;618;378;279;500;319;290;331;247;224;224
